code_id,code
126,"def get_video(self, node):
        
        video = Video()
        video.embed_code = self.get_embed_code(node)
        video.embed_type = self.get_embed_type(node)
        video.width = self.get_width(node)
        video.height = self.get_height(node)
        video.src = self.get_src(node)
        video.provider = self.get_provider(video.src)
        return video"
127,"def collect_fields(
        self,
        runtime_type: GraphQLObjectType,
        selection_set: SelectionSetNode,
        fields: Dict[str, List[FieldNode]],
        visited_fragment_names: Set[str],
    ) -> Dict[str, List[FieldNode]]:
        
        for selection in selection_set.selections:
            if isinstance(selection, FieldNode):
                if not self.should_include_node(selection):
                    continue
                name = get_field_entry_key(selection)
                fields.setdefault(name, []).append(selection)
            elif isinstance(selection, InlineFragmentNode):
                if not self.should_include_node(
                    selection
                ) or not self.does_fragment_condition_match(selection, runtime_type):
                    continue
                self.collect_fields(
                    runtime_type,
                    selection.selection_set,
                    fields,
                    visited_fragment_names,
                )
            elif isinstance(selection, FragmentSpreadNode):
                frag_name = selection.name.value
                if frag_name in visited_fragment_names or not self.should_include_node(
                    selection
                ):
                    continue
                visited_fragment_names.add(frag_name)
                fragment = self.fragments.get(frag_name)
                if not fragment or not self.does_fragment_condition_match(
                    fragment, runtime_type
                ):
                    continue
                self.collect_fields(
                    runtime_type, fragment.selection_set, fields, visited_fragment_names
                )
        return fields"
128,"def pop_one(self, priority=None):
        
        with self.lock:
            if not priority:
                priority = self.highest_entry()
            if self.closed:
                return [THREAD_STOP]
            elif not self.queue:
                return None
            else:
                v =self.pop(priority=priority)
                if v is THREAD_STOP:  
                    self.closed.go()
                return v"
129,"def editpermissions_group_view(self, request, group_id, forum_id=None):
        
        group = get_object_or_404(Group, pk=group_id)
        forum = get_object_or_404(Forum, pk=forum_id) if forum_id else None

        
        context = self.get_forum_perms_base_context(request, forum)
        context[] = forum
        context[] = .format(_(), group)
        context[] = self._get_permissions_form(
            request, GroupForumPermission, {: forum, : group},
        )

        return render(request, self.editpermissions_group_view_template_name, context)"
130,"def ConfigSectionMap(Config, section):
    
    cfg = {}
    options = Config.options(section)
    for option in options:
        try:
            cfg[option] = Config.get(section, option)
            if cfg[option] == -1:
                logging.debug(""skip: {0}"".format(option))
        except:
            logging.debug(""exception on {0}!"".format(option))
            cfg[option] = None
    return cfg"
131,"def logout(self, request):
        ""Logs out user and redirects them to Nexus home""
        from django.contrib.auth import logout

        logout(request)

        return HttpResponseRedirect(reverse(, current_app=self.name))"
132,"def send(self, sender: PytgbotApiBot):
        
        return sender.send_chat_action(
            
            action=self.action, chat_id=self.receiver
        )"
133,"def PyobjColumns(obj):
    
    return [ColumnAttr(k, type(getattr(obj, k))) for k in getPublicAttrs(obj)]"
134,"def bind(cls, target):
		
		
		if cls.__bound__ is not None:
			return cls
		
		cls.__bound__ = cls.get_collection(target)
		
		return cls"
135,"def _print_ll(self):
        
        print ""
        for i in range(self.width):
            print ""  %4d   ""%i,
        print
        for L in [, , , ]:
            print ""
            for i in range(self.width):
                print  ""%8.3f ""%self.ll[i][L],
            print"
136,"def ffmpeg_has_loudnorm():
    
    cmd_runner = CommandRunner([get_ffmpeg_exe(), ])
    cmd_runner.run_command()
    output = cmd_runner.get_output()
    if  in output:
        return True
    else:
        logger.warning(
            ""Your ffmpeg version does not support the  filter. ""
            ""Please make sure you are running ffmpeg v3.1 or above.""
        )
        return False"
137,"def get_segment_summary_times(scienceFile, segmentName):
    
    
    segmentName = segmentName.split()
    if not len(segmentName) in [2,3]:
        raise ValueError(""Invalid channel name %s."" %(segmentName))
    ifo = segmentName[0]
    channel = segmentName[1]
    version = 
    if len(segmentName) == 3:
        version = int(segmentName[2])

    
    xmldoc = utils.load_filename(scienceFile.cache_entry.path,
                             gz=scienceFile.cache_entry.path.endswith(""gz""),
                             contenthandler=ContentHandler)

    
    segmentDefTable = table.get_table(xmldoc, ""segment_definer"")
    for entry in segmentDefTable:
        if (entry.ifos == ifo) and (entry.name == channel):
            if len(segmentName) == 2 or (entry.version==version):
                segDefID = entry.segment_def_id
                break
    else:
        raise ValueError(""Cannot find channel %s in segment_definer table.""\
                         %(segmentName))

    
    segmentSummTable = table.get_table(xmldoc, ""segment_summary"")
    summSegList = segments.segmentlist([])
    for entry in segmentSummTable:
        if entry.segment_def_id == segDefID:
            segment = segments.segment(entry.start_time, entry.end_time)
            summSegList.append(segment)
    summSegList.coalesce()

    return summSegList"
138,"def get_new_apikey(lcc_server):
    

    USERHOME = os.path.expanduser()
    APIKEYFILE = os.path.join(USERHOME,
                              ,
                              ,
                               % lcc_server.replace(
                                  ,
                                  
                              ).replace(
                                  ,
                                  
                              ))

    
    url =  % lcc_server

    
    resp = urlopen(url)

    if resp.code == 200:

        respdict = json.loads(resp.read())

    else:

        LOGERROR( %
                 lcc_server)
        LOGERROR( % resp.status_code)
        return None

    
    
    
    
    apikey = respdict[][]
    expires = respdict[][]

    

    if not os.path.exists(os.path.dirname(APIKEYFILE)):
        os.makedirs(os.path.dirname(APIKEYFILE))

    with open(APIKEYFILE,) as outfd:
        outfd.write( % (apikey, expires))

    
    os.chmod(APIKEYFILE, 0o100600)

    LOGINFO( % (lcc_server,
                                                                   expires))
    LOGINFO( % APIKEYFILE)

    return apikey, expires"
139,"def post_list(self, request, **kwargs):
        
        
        
        
        request.method =   
        dispatch_request = convert_post_to_VERB(request, )
        return self.dispatch(, dispatch_request, **kwargs)"
140,"def leave_group(self, group_jid):
        
        log.info(""[+] Leaving group {}"".format(group_jid))
        return self._send_xmpp_element(group_adminship.LeaveGroupRequest(group_jid))"
141,"def get_help_width():
  
  if not sys.stdout.isatty() or termios is None or fcntl is None:
    return _DEFAULT_HELP_WIDTH
  try:
    data = fcntl.ioctl(sys.stdout, termios.TIOCGWINSZ, )
    columns = struct.unpack(, data)[1]
    
    
    if columns >= _MIN_HELP_WIDTH:
      return columns
    
    return int(os.getenv(, _DEFAULT_HELP_WIDTH))

  except (TypeError, IOError, struct.error):
    return _DEFAULT_HELP_WIDTH"
142,"def max_number(self, rows: List[Row], column: NumberColumn) -> Number:
        
        cell_values = [row.values[column.name] for row in rows]
        if not cell_values:
            return 0.0  
        if not all([isinstance(value, Number) for value in cell_values]):
            raise ExecutionError(f""Invalid values for number selection function: {cell_values}"")
        return max(cell_values)"
143,"def telnet_login(
        self,
        pri_prompt_terminator=""
        alt_prompt_terminator="">"",
        username_pattern=r""Login Name:"",
        pwd_pattern=r""assword"",
        delay_factor=1,
        max_loops=60,
    ):
        
        super(HPProcurveTelnet, self).telnet_login(
            pri_prompt_terminator=pri_prompt_terminator,
            alt_prompt_terminator=alt_prompt_terminator,
            username_pattern=username_pattern,
            pwd_pattern=pwd_pattern,
            delay_factor=delay_factor,
            max_loops=max_loops,
        )"
144,"def list(self, list_folders=False, list_files=False):
        

        a_files = os.listdir(self.folder.path)
        for a_file in a_files:
            path = self.folder.child(a_file)
            if os.path.isdir(path):
                if list_folders:
                    yield Folder(path)
            elif list_files:
                if not self.pattern or fnmatch.fnmatch(a_file, self.pattern):
                    yield File(path)"
145,"def get_components(self):
        
        components = []
        for app_id in self.components:
            components.append(self.components[app_id])
        return components"
146,"def check_commands(self, cmd_list):
        
        
        
        if isinstance(cmd_list, basestring):
            cmd_list = [cmd_list]

        for cmd in cmd_list:
            if self.command_run(""which {}"".format(cmd)) == 0:
                return cmd"
147,"def main():
    
    from docopt import docopt
    args = docopt(__doc__, version=kp.version)

    kp.logger.set_level(""km3pipe"", args[])

    pipe = kp.Pipeline()
    pipe.attach(
        kp.io.ch.CHPump,
        host=args[],
        port=int(args[]),
        tags=args[],
        timeout=int(args[]),
        max_queue=int(args[])
    )
    pipe.attach(LigierSender, target_ip=args[], port=int(args[]))
    pipe.drain()"
148,"def findWCSExtn(filename):
    
    rootname,extroot = fileutil.parseFilename(filename)
    extnum = None
    if extroot is None:
        fimg = fits.open(rootname, memmap=False)
        for i,extn in enumerate(fimg):
            if  in extn.header:
                refwcs = wcsutil.HSTWCS(.format(rootname,i))
                if refwcs.wcs.has_cd():
                    extnum = .format(i)
                    break
        fimg.close()
    else:
        try:
            refwcs = wcsutil.HSTWCS(filename)
            if refwcs.wcs.has_cd():
                extnum = extroot
        except:
            extnum = None

    return extnum"
149,"def find_chunks(tagged, language=""en""):
    
    chunked = [x for x in tagged]
    tags = """".join(""%s%s"" % (tag, SEPARATOR) for token, tag in tagged)
    
    for tag, rule in CHUNKS[int(language in (""ca"", ""es"", ""pt"", ""fr"", ""it"", ""pt"", ""ro""))]:
        for m in rule.finditer(tags):
            
            
            i = m.start()
            j = tags[:i].count(SEPARATOR)
            n = m.group(0).count(SEPARATOR)
            for k in range(j, j+n):
                if len(chunked[k]) == 3:
                    continue
                if len(chunked[k]) < 3:
                    
                    if k == j and chunked[k][1] in (""CC"", ""CJ"", "",""):
                        j += 1
                    
                    elif k == j:
                        chunked[k].append(""B-"" + tag)
                    
                    else:
                        chunked[k].append(""I-"" + tag)
    
    for chink in filter(lambda x: len(x) < 3, chunked):
        chink.append(""O"")
    
    for i, (word, tag, chunk) in enumerate(chunked):
        if tag.startswith(""RB"") and chunk == ""B-NP"":
            
            
            
            if i < len(chunked)-1 and not chunked[i+1][1].startswith(""JJ""):
                chunked[i+0][2] = ""B-ADVP""
                chunked[i+1][2] = ""B-NP""
            if i < len(chunked)-1 and chunked[i+1][1] in (""CC"", ""CJ"", "",""):
                chunked[i+1][2] = ""O""
            if i < len(chunked)-2 and chunked[i+1][2] == ""O"":
                chunked[i+2][2] = ""B-NP""
    return chunked"
150,"def full_path(self):
        

        if self.parent:
            return os.path.join(self.parent.full_path, self.name)
        return self.name"
151,"def serialize(expr):
    

    result = None

    if isinstance(expr, string_types):
        result = expr

    elif expr is not None:
        result = .format(expr)

    return result"
152,"def fit(self, Z):
        
        X = Z[:, ] if isinstance(Z, DictRDD) else Z
        check_rdd(X, (np.ndarray, sp.spmatrix))
        if self.init == :
            self._mllib_model = MLlibKMeans.train(
                X.unblock(),
                self.n_clusters,
                maxIterations=self.max_iter,
                initializationMode=""k-means||"")
            self.cluster_centers_ = self._mllib_model.centers
        else:
            models = X.map(lambda X: super(SparkKMeans, self).fit(X))
            models = models.map(lambda model: model.cluster_centers_).collect()
            return super(SparkKMeans, self).fit(np.concatenate(models))"
153,"def _get_parent_id(self):
        
        parent_id = self._options.get()
        if parent_id:
            return parent_id

        from furious.context import get_current_async

        try:
            async = get_current_async()
        except errors.NotInContextError:
            async = None

        if async:
            parent_id = "":"".join([async.parent_id.split("":"")[0], async.id])
        else:
            parent_id = self.request_id

        self.update_options(parent_id=parent_id)

        return parent_id"
154,"def find_assign(data, varname):
    
    ASSIGN_RE = re.compile(BASE_ASSIGN_PATTERN.format(varname))

    if len(ASSIGN_RE.findall(data)) > 1:
        raise PluginError(.format(varname))

    if len(ASSIGN_RE.findall(data)) < 1:
        raise PluginError(
                          .format(varname))

    return ASSIGN_RE.search(data).group(2)"
155,"def _filter_extracted(self, extracted_list):
        
        _filtered = []
        for np in extracted_list:
            _np = np.split()
            if _np[0] in INSIGNIFICANT:
                _np.pop(0)
            try:
                if _np[-1] in INSIGNIFICANT:
                    _np.pop(-1)
                
                if _np[0] in INSIGNIFICANT:
                    _np.pop(0)
            except IndexError:
                _np = []
            if len(_np) > 0:
                _filtered.append("" "".join(_np))
        return _filtered"
156,"def onMouseOver(self, event, grid):
        
        x, y = grid.CalcUnscrolledPosition(event.GetX(), event.GetY())
        coords = grid.XYToCell(x, y)
        col = coords[1]
        row = coords[0]

        
        
        msg = grid.GetCellValue(row, col)
        if len(msg) > 15:
            event.GetEventObject().SetToolTipString(msg)
        else:
            event.GetEventObject().SetToolTipString()"
157,"def agent_reqs():
    

    echo_info(""Validating requirements-agent-release.txt..."")
    agent_reqs_content = parse_agent_req_file(read_file(get_agent_release_requirements()))
    ok_checks = 0
    unreleased_checks = 0
    failed_checks = 0
    for check_name in get_valid_checks():
        if check_name not in AGENT_V5_ONLY | NOT_CHECKS:
            package_name = get_package_name(check_name)
            check_version = get_version_string(check_name)
            pinned_version = agent_reqs_content.get(package_name)
            if package_name not in agent_reqs_content:
                unreleased_checks += 1
                echo_warning(.format(check_name))
            elif check_version != pinned_version:
                failed_checks += 1
                echo_failure(""{} has version {} but is pinned to {}"".format(check_name, check_version, pinned_version))
            else:
                ok_checks += 1

    if ok_checks:
        echo_success(""{} correctly pinned checks"".format(ok_checks))
    if unreleased_checks:
        echo_warning(""{} unreleased checks"".format(unreleased_checks))
    if failed_checks:
        echo_failure(""{} checks out of sync"".format(failed_checks))
        abort()"
158,"def getMov(self, profile):
        
        
        import mov
        return mov.MoVScoring(profile, self.getScoringVector(profile))"
159,"def write_name (self, url_data):
        
        args = (self.part(""name""), cgi.escape(url_data.name))
        self.writeln(u""<tr><td>%s</td><td>`%s'</td></tr>"" % args)"
160,"def qaaxn(mt, x, n, q, m = 1):
    
    
    q = float(q)
    j = (mt.i - q) / (1 + q)
    mtj = Actuarial(nt=mt.nt, i=j)
    return aaxn(mtj, x, n, m)"
161,"def set_redirect(self, url, status=HttpStatusCodes.HTTP_303):
        
        self.set_status(status)
        self.set_content()
        self.set_header(HttpResponseHeaders.LOCATION, url)"
162,"def offset2line(offset, linestarts):
    
    if len(linestarts) == 0 or offset < linestarts[0][0]:
        return 0
    low = 0
    high = len(linestarts) - 1
    mid = (low + high + 1) // 2
    while low <= high:
        if linestarts[mid][0] > offset:
            high = mid - 1
        elif linestarts[mid][0] < offset:
            low = mid + 1
        else:
            return linestarts[mid][1]
        mid = (low + high + 1) // 2
        pass
    
    if mid >= len(linestarts):
        return linestarts[len(linestarts)-1][1]
    return linestarts[high][1]"
163,"def save_to_object(self):
        

        tmpdir = tempfile.mkdtemp(""save_to_object"", dir=self.logdir)
        checkpoint_prefix = self.save(tmpdir)

        data = {}
        base_dir = os.path.dirname(checkpoint_prefix)
        for path in os.listdir(base_dir):
            path = os.path.join(base_dir, path)
            if path.startswith(checkpoint_prefix):
                with open(path, ""rb"") as f:
                    data[os.path.basename(path)] = f.read()

        out = io.BytesIO()
        data_dict = pickle.dumps({
            ""checkpoint_name"": os.path.basename(checkpoint_prefix),
            ""data"": data,
        })
        if len(data_dict) > 10e6:  
            logger.info(""Checkpoint size is {} bytes"".format(len(data_dict)))
        out.write(data_dict)

        shutil.rmtree(tmpdir)
        return out.getvalue()"
164,"def miller_index_from_sites(lattice, coords, coords_are_cartesian=True,
                            round_dp=4, verbose=True):
    
    if not isinstance(lattice, Lattice):
        lattice = Lattice(lattice)

    return lattice.get_miller_index_from_coords(
        coords, coords_are_cartesian=coords_are_cartesian, round_dp=round_dp,
        verbose=verbose)"
165,"def substitute(sequence, offset, ref, alt):
    
    n_ref = len(ref)
    sequence_ref = sequence[offset:offset + n_ref]
    assert str(sequence_ref) == str(ref), \
        ""Reference %s at offset %d != expected reference %s"" % \
        (sequence_ref, offset, ref)
    prefix = sequence[:offset]
    suffix = sequence[offset + n_ref:]
    return prefix + alt + suffix"
166,"def elements(self, using, value):
        
        return self._execute(Command.FIND_ELEMENTS, {
            : using,
            : value
        })"
167,"def clear_buffer(self):
        
        command_url = self.hub_url + 
        response = self.post_direct_command(command_url)
        self.logger.info(""clear_buffer: %s"", response)
        return response"
168,"def pclass_field_for_attribute(self):
        
        return self.type_model.pclass_field_for_type(
            required=self.required,
            default=self.default,
        )"
169,"def set_from_config_file(self, filename):
        
        if not os.path.exists(filename):
            raise LintConfigError(u""Invalid file path: {0}"".format(filename))
        self._config_path = os.path.abspath(filename)
        try:
            parser = ConfigParser()
            parser.read(filename)

            for section_name in parser.sections():
                for option_name, option_value in parser.items(section_name):
                    self.set_option(section_name, option_name, ustr(option_value))

        except ConfigParserError as e:
            raise LintConfigError(ustr(e))"
170,"def create(self):
        
        if os.path.isfile(self.path):
            if not os.path.exists(self.path):
                with open(self.path, ) as fileobj:
                    fileobj.write()
        else:
            os.makedirs(self.path)"
171,"def load_rc_file():
    
    
    
    
            else:
                print(line)
                print(tokens[0], ""is not a recognized resource file statement"")
        cf.close()
    except:
        print(""Unable to open resource file"", rcfile)"
172,"def connect(self, slot):
        
        self._ensure_slot_args(slot)
        if not self.is_connected(slot):
            self.slots.append(slot)"
173,"def is_ssh_available(host, opts, print_ssh_output=True):
    
    s = subprocess.Popen(
        ssh_command(opts) + [, , , ,
                              % (opts.user, host), stringify_command()],
        stdout=subprocess.PIPE,
        stderr=subprocess.STDOUT  
    )
    cmd_output = s.communicate()[0]  

    if s.returncode != 0 and print_ssh_output:
        
        print(textwrap.dedent().format(
            h=host,
            r=s.returncode,
            o=cmd_output.strip()
        ))

    return s.returncode == 0"
174,"def get_text_range(self, node):
    
    if not hasattr(node, ):
      return (0, 0)

    start = node.first_token.startpos
    if any(match_token(t, token.NEWLINE) for t in self.get_tokens(node)):
      
      start = self._text.rfind(, 0, start) + 1

    return (start, node.last_token.endpos)"
175,"def get_sub_area(area, xslice, yslice):
    
    new_area_extent = ((area.pixel_upper_left[0] +
                        (xslice.start - 0.5) * area.pixel_size_x),
                       (area.pixel_upper_left[1] -
                        (yslice.stop - 0.5) * area.pixel_size_y),
                       (area.pixel_upper_left[0] +
                        (xslice.stop - 0.5) * area.pixel_size_x),
                       (area.pixel_upper_left[1] -
                        (yslice.start - 0.5) * area.pixel_size_y))

    return AreaDefinition(area.area_id, area.name,
                          area.proj_id, area.proj_dict,
                          xslice.stop - xslice.start,
                          yslice.stop - yslice.start,
                          new_area_extent)"
176,"def optionIsSet(self, name):
    
    name = name.strip()
    if not self.hasOption(name):
      return False
    return self.getOption(name).isSet()"
177,"def funTransEdgeY(theta, rho):
    
    return np.matrix([[1, 0], [-np.tan(theta) / rho, 1]], dtype=np.double)"
178,"def parse(self, configManager, config):
        

        configFile = self._getConfigFile(config)

        if not configFile:
            return dict()

        yamlConfigs = yaml.load(configFile)
        if isinstance(yamlConfigs, dict):
            return yamlConfigs

        raise self.subparserException(""YAML config parsed did not result in a dictionary, but instead a: %s""
                                      % type(yamlConfigs))"
179,"def BVS(self, name, size,
            min=None, max=None, stride=None,
            uninitialized=False,
            explicit_name=None, key=None, eternal=False,
            inspect=True, events=True,
            **kwargs): 
        

        
        if key is not None and eternal and key in self.eternal_tracked_variables:
            r = self.eternal_tracked_variables[key]
            
            if size != r.length or min != r.args[1] or max != r.args[2] or stride != r.args[3] or uninitialized != r.args[4] or bool(explicit_name) ^ (r.args[0] == name):
                l.warning(""Variable %s being retrieved with differnt settings than it was tracked with"", name)
        else:
            r = claripy.BVS(name, size, min=min, max=max, stride=stride, uninitialized=uninitialized, explicit_name=explicit_name, **kwargs)
            if key is not None:
                self.register_variable(r, key, eternal)

        if inspect:
            self.state._inspect(, BP_AFTER, symbolic_name=next(iter(r.variables)), symbolic_size=size, symbolic_expr=r)
        if events:
            self.state.history.add_event(, name=next(iter(r.variables)), bits=size, **kwargs)
        if o.TRACK_SOLVER_VARIABLES in self.state.options:
            self.all_variables = list(self.all_variables)
            self.all_variables.append(r)
        return r"
180,"def decode(self, pdu):
        
        if _debug: NPCI._debug(""decode %s"", str(pdu))

        PCI.update(self, pdu)

        
        if len(pdu.pduData) < 2:
            raise DecodingError(""invalid length"")

        
        self.npduVersion = pdu.get()
        if (self.npduVersion != 0x01):
            raise DecodingError(""only version 1 messages supported"")

        
        self.npduControl = control = pdu.get()
        netLayerMessage = control & 0x80
        dnetPresent = control & 0x20
        snetPresent = control & 0x08
        self.pduExpectingReply = (control & 0x04) != 0
        self.pduNetworkPriority = control & 0x03

        
        if dnetPresent:
            dnet = pdu.get_short()
            dlen = pdu.get()
            dadr = pdu.get_data(dlen)

            if dnet == 0xFFFF:
                self.npduDADR = GlobalBroadcast()
            elif dlen == 0:
                self.npduDADR = RemoteBroadcast(dnet)
            else:
                self.npduDADR = RemoteStation(dnet, dadr)

        
        if snetPresent:
            snet = pdu.get_short()
            slen = pdu.get()
            sadr = pdu.get_data(slen)

            if snet == 0xFFFF:
                raise DecodingError(""SADR cant be a remote broadcast"")

            self.npduSADR = RemoteStation(snet, sadr)

        
        if dnetPresent:
            self.npduHopCount = pdu.get()

        
        if netLayerMessage:
            self.npduNetMessage = pdu.get()
            if (self.npduNetMessage >= 0x80) and (self.npduNetMessage <= 0xFF):
                
                self.npduVendorID = pdu.get_short()
        else:
            
            self.npduNetMessage = None"
181,"def clone(source, destination, dbs = None, verbose = False):
	

	
	if not isinstance(source, dict):
		raise ValueError()

	
	try:
		oSource	= r.connect(**source)

	
	except r.errors.RqlDriverError:
		sys.stderr.write( + str(source) + )
		return False

	
	if not isinstance(destination, dict):
		raise ValueError()

	
	try:
		oDest	= r.connect(**destination)

	
	except r.errors.RqlDriverError:
		sys.stderr.write( + str(destination) + )
		return False

	
	lSourceDBs	= r.db_list().run(oSource)

	
	if not dbs:
		dbs	= lSourceDBs

	
	if isinstance(dbs, (list,tuple)):
		dbs	= {s:None for s in dbs}

	
	for sDB,lTables in dbs.iteritems():

		
		if sDB not in lSourceDBs:
			sys.stderr.write( % sDB)
			continue

		
		if r.db_list().contains(sCopyDB).run(oDest):
			sys.stderr.write( % sDB)
			continue

		
		if verbose:
			sys.stdout.write( % sDB)

		
		r.db_create(sCopyDB).run(oDest)

		
		lSourceTables	= r.db(sDB).table_list().run(oSource)

		
		if not lTables:
			lTables	= lSourceTables

		
		for sTable in lTables:

			
				if len(oMatches) == 1:

					
					r.db(sCopyDB).table(sTable).index_create(oMatches[0][0]).run(oDest)

				
				else:

					
					lFields	= []
					for tMatch in oMatches:
						lFields.append(r.row[tMatch[1]])

					
					r.db(sCopyDB).table(sTable).index_create(sName, lFields).run(oDest)

			
			for dDoc in r.db(sDB).table(sTable).run(oSource):

				
				r.db(sCopyDB).table(sTable).insert(dDoc).run(oDest)

				
				if verbose:

					
					iCount	+= 1

					
					iTemp	= int(round(float(iCount) / fBlock))

					
					if iTemp > iTicks:
						iTicks	= iTemp

						
						sys.stdout.write( % (
							sTable,
							( * iTicks),
							( * (_PROGRESS_TICKS - iTicks)),
							(iTicks * 4)
						))
						sys.stdout.flush()

			
			if verbose:

				
				sys.stdout.write( % (sTable, ( * _PROGRESS_TICKS)))"
182,"def options(name, option, value):
    

    if not isinstance(name, list):
        name = [name]
    
    option = option.lower()
    
    for i in name:
        if i not in data_quants.keys():
            print(str(i) + "" is currently not in pytplot."")
            return
    
        if option == :
            if isinstance(value, list):
                data_quants[i].extras[] = value
            else:
                data_quants[i].extras[] = [value]
        
        if option == :
            if isinstance(value, list):
                data_quants[i].link_to_tvar(value[0], value[1])
                
        if option == :
            if isinstance(value, list):
                data_quants[i].extras[] = value
            else:
                data_quants[i].extras[] = [value]
        
        if option == :
            _reset_plots(i)
            data_quants[i].extras[] = value
        
        if option == :
            _reset_plots(i)
            data_quants[i].extras[] = value
    
        if option == :
            _reset_plots(i)
            data_quants[i].extras[] = value

        if option == :
            data_quants[i].yaxis_opt[] = value

        if option == :
            if value:
                data_quants[i].interactive_xaxis_opt[] = 
            else:
                data_quants[i].interactive_xaxis_opt[] = 

        if option == :
            negflag = _ylog_check(data_quants, value, i)
            if negflag == 0:
                data_quants[i].yaxis_opt[] = 
            else:
                data_quants[i].yaxis_opt[] = 

        if option == :
            if value:
                data_quants[i].interactive_yaxis_opt[] = 
            else:
                data_quants[i].interactive_xaxis_opt[] = 

        if option == :
            negflag = _zlog_check(data_quants, value, i)
            if negflag == 0:
                data_quants[i].zaxis_opt[] = 
            else:
                data_quants[i].zaxis_opt[] = 
        
        if option == :
            data_quants[i].line_opt[] = value
        
        if option == :
            to_be = []
            if value == 0 or value == :
                to_be = []
            elif value == 1 or value == :
                to_be = [2, 4]
            elif value == 2 or value == :
                to_be = [6]
            elif value == 3 or value == :
                to_be = [6, 4, 2, 4]
            elif value == 4 or value == :
                to_be = [6, 4, 2, 4, 2, 4, 2, 4]
            elif value == 5 or value == :
                to_be = [10]
                
            data_quants[i].line_opt[] = to_be
            
            if(value == 6 or value == ):
                data_quants[i].line_opt[] = False

        if option == :
            data_quants[i].extras[] = value
                
        if option == :
            data_quants[i].line_opt[] = value
        
        if option == ""panel_size"":
            if value > 1 or value <= 0:
                print(""Invalid value. Should be (0, 1]"")
                return
            data_quants[i].extras[] = value
        
        if option == :
            data_quants[i].extras[] = value
        
        if option == :
            if value > 1 or value < 0:
                print(""Invalid value. Should be [0, 1]"")
                return
            data_quants[i].extras[] = value
            
        if option == :
            data_quants[i].line_opt[] = value
        
        if option == ( or ):
            data_quants[i].yaxis_opt[] = [value[0], value[1]]
            
        if option == ( or ):
            data_quants[i].zaxis_opt[] = [value[0], value[1]]

        if option == :
            data_quants[i].interactive_xaxis_opt[] = [value[0], value[1]]

        if option == :
            data_quants[i].interactive_yaxis_opt[] = [value[0], value[1]]
            
        if option == :
            data_quants[i].xaxis_opt[] = value
        
        if option == :
            data_quants[i].yaxis_opt[] = value
        
        if option == :
            data_quants[i].zaxis_opt[] = value
        
        if option == :
            _reset_plots(i)
            data_quants[i].extras[] = value

        if option == :
            data_quants[i].xaxis_opt[] = value

        if option == :
            data_quants[i].yaxis_opt[] = value

        if option == :
            data_quants[i].zaxis_opt[] = value

        if option == :
            data_quants[i].extras[] = value

        if option == :
            data_quants[i].extras[] = [value[0], value[1]]

        if option == :
            data_quants[i].extras[] = value
    return"
183,"def two_values_melt(
    df,
    first_value_vars: List[str],
    second_value_vars: List[str],
    var_name: str,
    value_name: str
):
    
    value_name_first = value_name + 
    value_name_second = value_name + 

    
    melt_first_value = pd.melt(df,
                               id_vars=[col for col in list(df) if
                                        col not in first_value_vars],
                               value_vars=first_value_vars,
                               var_name=var_name,
                               value_name=value_name_first)
    melt_first_value.drop(second_value_vars, axis=1, inplace=True)

    
    melt_second_value = pd.melt(df,
                                id_vars=[col for col in list(df) if
                                         col not in second_value_vars],
                                value_vars=second_value_vars,
                                var_name=var_name,
                                value_name=value_name_second)

    
    
    normalize_types = {k: v for k, v in zip(second_value_vars, first_value_vars)}
    melt_second_value.replace(normalize_types, inplace=True)
    melt_second_value.drop(first_value_vars, axis=1, inplace=True)

    on_cols = list(melt_first_value)
    on_cols.remove(value_name_first)
    return pd.merge(melt_first_value, melt_second_value, on=on_cols, how=)"
184,"def info(self, name, description, labelnames=None, labelvalues=None, **labels):
        

        if labels and labelnames:
            raise ValueError(
                
                
            )

        if labelnames is None and labels:
            labelnames = labels.keys()

        elif labelnames and labelvalues:
            for idx, label_name in enumerate(labelnames):
                labels[label_name] = labelvalues[idx]

        gauge = Gauge(
            name, description, labelnames or tuple(),
            registry=self.registry
        )

        if labels:
            gauge = gauge.labels(**labels)

        gauge.set(1)

        return gauge"
185,"def insert(self, state, token):
        
        if token == EndSymbol():
            return self[state][EndSymbol()]
        from pydsl.check import check
        symbol_list = [x for x in self[state] if isinstance(x, TerminalSymbol) and check(x.gd, [token])]
        if not symbol_list:
            return {""action"":""Fail""}
        if len(symbol_list) > 1:
            raise Exception(""Multiple symbols matches input"")
        symbol = symbol_list[0]
        return self[state][symbol]"
